titre,resume,auteurs,date_publication,journal,mots_cles,maladie,source,lien,type_contenu,date_scraping
Fat Infiltration in Eyelids: An Uncommon Clinical Case with Long-Term Monitoring.,"To describe a rare case of fatty tissue infiltration in the eyelids, leading to enophthalmos, and its successful surgical management with long-term follow-up. We present the case of a 32-year-old woman with a three-year history of progressive, painless swelling of the right upper and lower eyelids. Clinical and radiologic evaluation included physical examination and magnetic resonance imaging (MRI). Histopathological analysis confirmed the diagnosis. Surgical resection was performed, and the patient was followed for over 24 months. Examination revealed increased soft tissue volume in the right eyelids, narrowing of the palpebral fissure, and subtle hyperpigmentation. MRI showed fatty infiltration of the eyelids and reduced intraconal orbital fat, resulting in right-sided enophthalmos. No systemic, autoimmune, or infectious causes were identified. Histopathology confirmed fatty tissue infiltration and excluded neoplastic processes. Surgical excision of the abnormal tissue via upper and lower eyelid blepharoplasty was performed. At 14-month follow-up, the patient showed no signs of recurrence and was satisfied with the functional and cosmetic outcome, although enophthalmos persisted. No instances of fatty tissue infiltration in the eyelid were discovered despite a thorough search for comparable cases in the literature. A few examples of lipomas affecting just one eyelid have been documented. But unlike a lipoma, this fat infiltration lacks fibrous septa and is poorly confined. Fatty infiltration of the eyelids is an exceptionally rare presentation, especially when accompanied by intraconal fat loss and enophthalmos. This case highlights the importance of thorough imaging and histological analysis in atypical eyelid swelling. Surgical resection may offer a definitive and lasting solution. To our knowledge, this is the first reported case of its kind.",Villate Maria Amparo Mora | Tribaldos Jhon Alexander Cortes,2026-,Romanian journal of ophthalmology,HIPAA = Health Insurance Portability and Accountability Act | HIV = Human Immunodeficiency Virus | MRI = Magnetic Resonance Imaging | OD = Oculus Dexter (right eye) | blepharoplasty | enophthalmos | eyelid swelling | fatty infiltration | orbital imaging | eye diseases | PubMed,eye diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42146962/,treatment,2026-06-01 19:17:05.705
Capsid Engineering of Adeno-Associated Viruses for Targeted Gene Therapy in Kidney Diseases.,"The global burden of chronic and genetic kidney diseases poses a significant challenge to healthcare systems. Current therapies, including dialysis, transplantation, and supportive pharmacotherapies, cannot halt disease progression or address root causes, especially in monogenic disorders like Alport syndrome and Fabry disease. Adeno-associated virus (AAV)-based gene therapy is promising, enabling targeted correction of underlying genetic defects. However, renal delivery faces challenges, including cellular heterogeneity, anatomical barriers, and pre-existing immunity. This review evaluates advances in AAV capsid engineering to overcome these obstacles, focusing on strategies to enhance kidney-specific tropism, transduction efficiency, and immune evasion. We outline the evolution from conventional serotype selection to precision engineering via rational design, directed evolution, and in silico approaches. Artificial intelligence (AI) has emerged as a pivotal accelerator, with machine learning models and generative frameworks enabling data-efficient capsid optimization despite limited datasets. Multimodal AI, reinforcement learning, and agentic systems can refine renal targeting by balancing glomerular penetration, cell specificity, and safety. Future progress relies on scaling high-quality datasets through collaborative consortia, lab-in-the-loop validation, and explainable AI. By combining capsid engineering with renal pathophysiology insights, this roadmap paves the way for curative AAV therapies that move beyond current suboptimal treatments to correct underlying pathogenic mechanisms.",Ghaffarzadeh-Esfahani Mohammadreza | Gheisari Yousof,2026-May,Human gene therapy,adeno-associated virus | artificial intelligence | capsid engineering | gene therapy | kidney | machine learning | renal tropism | digestive diseases | PubMed,digestive diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42210494/,bioinformatics,2026-06-01 19:18:36.795
Exploring the role of resistin as a biomarker of early renal changes in pediatric type 1 diabetes mellitus.,"Evidence suggests that resistin, through its pro-inflammatory and pro-oxidative actions, may contribute to the development of cardiovascular and kidney diseases. Although resistin has been investigated in insulin-resistant states, data on this cytokine in pediatric patients with type 1 diabetes mellitus (T1DM) remain scarce. This study aimed to examine the relationship between circulating resistin and oxidative stress biomarkers, as well as with urinary albumin excretion in children and adolescents with T1DM. Serum resistin levels, metabolic control, lipid and redox biomarkers, including prooxidant-antioxidant balance (PAB), advanced oxidation protein products (AOPP), total sulfhydryl (SH) groups, superoxide dismutase (SOD) activity and total antioxidant status (TAS) were determined in 159 pediatric T1DM patients. The highest resistin tertile was characterized by the largest proportion of poorly controlled patients (P < 0.05). These patients also showed significantly elevated AOPP and SH-groups, while the patients in the lowest tertile exhibited significantly higher PAB. Resistin correlated positively with urinary albumin excretion, AOPP and hsCRP, and negatively with PAB (P < 0.05). Patients in the highest resistin tertile had a greater likelihood of early elevation of albumin excretion (OR = 2.27; 97% CI: ; P = 0.05). This relationship remained significant after adjustment for demographic, lipid and redox parameters, but attenuated after adjustment for diabetes-related parameters. Elevated serum resistin concentrations in pediatric patients with T1DM were associated with suboptimal metabolic control, enhanced oxidative stress and an early increase in urinary albumin excretion rate. Further studies are needed to clarify the mechanisms through which resistin contributes to early kidney dysfunction in T1DM.",Bojanin Dragana | Stefanović Aleksandra | Vuković Rade | Mitrović Katarina | Vekić Jelena,2026-May,Acta diabetologica,Inflammation | Oxidative stress | Resistin | Type 1 diabetes mellitus | Urinary albumin excretion | diabetes | PubMed,diabetes,PubMed,https://pubmed.ncbi.nlm.nih.gov/42189219/,diagnosis,2026-06-01 19:11:51.624
MiR-26b-5p Predicts the Severity of Crohn's Disease and the Degree of Malnutrition.,"Crohn's disease (CD) is a chronic and recurrent inflammatory bowel disease, often accompanied by symptoms of malnutrition. MicroRNA is stably present in faeces and plays a significant role in CD. This study aimed to explore the expression of miR-26b-5p in the faeces of CD patients and its association with disease severity and nutritional status. The GEO2R online tool was used to analyse the datasets GSE144535 and GSE102134. The subjects' data were collected. The ability of miR-26b-5p to distinguish healthy individuals from CD patients was evaluated using the receiver operating characteristic curve. The subjects were grouped based on the Crohn's disease activity index, simple endoscopic score for Crohn's disease (SES-CD), malnutrition universal screening tool (MUST) and nutrition risk screening 2002 (NRS 2002) scales, and the expression levels of miR-26b-5p in the faeces of CD patients were detected. The correlation between miR-26b-5p and MUST and NRS 2002 scores was analysed by Spearman's test. The target genes were predicted by miRDB and TargetScan databases, and the biological processes and pathways involved in these genes were identified through GO/KEGG analysis. MiR-26b-5p was significantly down-regulated in the CD dataset and patient faeces, negatively correlated with the disease activity and severity of inflammation, and its expression was lower in patients with poorer nutritional status. GO/KEGG analysis revealed that the target genes of miR-26b-5p were involved in inflammation and nutrient metabolism pathways. We conclude that miR-26b-5p is a potential biomarker for CD and is negatively correlated with the severity of the disease and the degree of malnutrition.",Sun Yan-Hui | Wang Xiao-Xiao | Wu Cong,2026-,Folia biologica,Crohn’s disease | malnutrition | miR-26b-5p | severity of the disease | digestive diseases | PubMed,digestive diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42160731/,diagnosis,2026-06-01 19:19:26.885
Harnessing Microglial Repopulation: From Inflammatory Drivers to Therapeutic Allies in CNS Diseases.,"Microglia, the tissue-resident macrophages of the central nervous system (CNS), execute essential functions in neural development, homeostasis, and repair. However, their persistent or dysregulated activation is a hallmark of diverse neurological disorders, where they transition from protective sentinels to drivers of chronic neuroinflammation and tissue damage. This duality has spurred the development of therapeutic strategies aimed not merely at suppressing microglial activity, but at fundamentally resetting the CNS immune landscape. Here, we review the paradigm of transient microglial depletion followed by endogenous repopulation, a strategy that effectively replaces a dysfunctional or pathologically primed microglial compartment with a rejuvenated cohort. Emerging evidence demonstrates that repopulated microglia exhibit a distinct phenotype-characterized by attenuated inflammatory profiles, upregulated homeostatic and neurotrophic gene expression, and enhanced phagocytic capacity-thereby conferring neuroprotection and promoting functional recovery across preclinical models of acute injury, neurodegeneration, and demyelinating disease. We critically evaluate the pharmacological and genetic tools used to achieve depletion, synthesize the context-dependent outcomes across disease spectra, and discuss the mechanistic basis for the superior therapeutic profile of the repopulation phase. Finally, we address the key translational challenges-including therapeutic windows, age- and sex-dependent effects, and the gap between rodent models and human biology-that must be overcome to transform this innovative strategy from a powerful experimental tool into a viable clinical modality for reprogramming CNS immunity.",Li Guanyu | Liu Hong | Lan Zhida | Yuan Yimin | Li Jiali | Dai Ziwei | Huang Chao | He Cheng | Qin Shangyao | Su Zhida,2026-Jul,Glia,depletion | microglia | neuroinflammation | neurological disorder | repopulation | therapy | neurological diseases | PubMed,neurological diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42206656/,treatment,2026-06-01 19:14:20.297
Difference Between Central and Peripheral Arterial Blood Oxygen Saturation With Different CPB Strategy,"Femoro-femoral cardiopulmonary bypass with retrograde perfusion is needed for totally thoracoscopic cardiac surgery. one of the major complication of retrograde perfusion is organ hypoperfusion. Arterial blood gas analysis can help to detect hypoperfusion or hypoxia during retrograde perfusion. However,whether the arterial oxygenation status from different parts of the body are the same in the condition of retrograde perfusion have not been studied. The present study is aimed to determine if there is difference in the arterial oxygenation between peripheral arterial and aortic root during the period of retrograde perfusion.In addition, the impact of artificial ventilation on the difference of arterial oxygenation will also be investigated.","Min Chen, M.D. | Jing Zhao, M.D.",2012-10,Xijing Hospital,Bypass Complications | Disorder of Blood Gas | heart disease | ClinicalTrials,heart disease,ClinicalTrials,https://clinicaltrials.gov/study/NCT01698853,treatment,2026-06-01 18:41:09.763
Comparison of Efficiency Between I-gel Blind Intubation and I-gel Bronchoscopic Intubation During Resuscitation,"The investigators will compare conventional intubation using Macintosh laryngoscope, blind endotracheal intubation using i-gel for conduit and bronchoscopic intubation using Ambu-aScope and i-gel. All situation assumed as cardiac arrest. i.e, someone give chest compressions continuously without interruption. Moreover the investigators will compare the type of endotracheal tube. Reinforced tube has more soft tube tip, so the investigators think it is more acceptable for intubation using i-gel as conduit.",Hallym University Kangnam Sacred Heart Hospital,2015-04,Hallym University Kangnam Sacred Heart Hospital,Heart Arrest | heart disease | ClinicalTrials,heart disease,ClinicalTrials,https://clinicaltrials.gov/study/NCT02411422,basic_research,2026-06-01 18:40:57.903
Ninth BHD International Symposium: Advancing Research Through Global Collaboration.,The 9,Rajan Neil | Baba Masaya | Ballabio Andrea | Henske Elizabeth P | Jacques Katherine | Marciniak Stefan J | Pause Arnim | Shi Wei | Soleimani Manoocher | Tee Andrew R | Zoncu Roberto | Mollapour Mehdi | Linehan W Marston,2026-May,Cell stress & chaperones,Birt-Hogg-Dubé syndrome | FLCN | FNIP1 | FNIP2 | Folliculin | Folliculin interacting Protein | MITF | TFE3 | TFEB | TSC1 | TSC2 | Tuberous Sclerosis Complex | neurological diseases | PubMed,neurological diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42155667/,basic_research,2026-06-01 19:14:42.256
Pantoprazole Use in Invasively Ventilated Patients With Septic Shock: A Protocol and Statistical Analysis Plan.,"Sepsis is a recognized risk factor for upper gastrointestinal bleeding, yet sepsis-specific randomized evidence informing stress ulcer prophylaxis remains limited. This protocol describes the rationale, methods, and statistical analysis plan for a post hoc subgroup analysis evaluating pantoprazole versus placebo in invasively ventilated critically ill adults with septic shock enrolled in the REVISE trial (NCT03374800). This study will be a post hoc extended subgroup analysis of the international, blinded, randomized REVISE trial, which enrolled 4821 mechanically ventilated adults in 68 ICUs across 8 countries. Patients were randomized to intravenous pantoprazole 40 mg once daily or placebo during invasive mechanical ventilation. Septic shock will be defined as receipt of vasopressors or inotropes at baseline together with an admitting diagnosis of infection according to APACHE III diagnostic categories. The primary efficacy outcome will be clinically important upper gastrointestinal bleeding in the ICU within 90 days after randomization, and the primary safety outcome will be all-cause mortality within 90 days. Additional trial outcomes will include patient-important upper gastrointestinal bleeding, ventilator-associated pneumonia, Clostridioides difficile infection during hospitalization, new renal replacement therapy, mortality in the ICU and hospital, and duration of ICU and hospital stay. Analyses will be adjusted for prehospital acid suppression; the mortality analyses will be additionally adjusted for APACHE II score. This protocol and statistical analysis plan describes an evaluation of the efficacy and safety of pantoprazole in patients with septic shock within a large randomized trial dataset. Trial Registration: ClinicalTrials.gov identifier: NCT03374800.",Kuriyama Akira | Heels-Ansdell Diane | Fernando Shannon M | Adhikari Neill K J | Lamontagne Francois | Teja Bijan | Lewis Kimberly Anne | Rochwerg Bram | Carayannopoulos Karrilloi Laiya | Vazquez-Grande Gloria | McIntyre Lauralyn | Honarmand Kimia | Chaudhuri Dipayan | Krag Mette | Zytaruk Nicole | Cook Deborah,2026-Jul,Acta anaesthesiologica Scandinavica,sepsis | septic shock | stress ulcer prophylaxis | upper gastrointestinal bleeding | digestive diseases | PubMed,digestive diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42186360/,epidemiology,2026-06-01 19:19:05.622
SBK2-Driven NDUFV1 Phosphorylation and Translocation Limits Cardiac Hypertrophy.,"Heart failure remains a major global health burden, driven largely by pathological cardiac hypertrophy. Mitochondrial dysfunction, particularly impaired mitochondrial complex I activity, is central to the disease progression, yet its regulatory mechanisms are poorly understood. Cross-species transcriptomic screening and UK Biobank analyses identified SBK2 (Src homology 3 domain-binding kinase 2) as a conserved, cardiac-enriched kinase potentially linked to heart failure risk. We hypothesized that SBK2 regulates cardiac hypertrophy by modulating mitochondrial complex I function. Cross-species conserved genes were identified from GEO data sets, and variants within ±10 kb of SBK2, ADAMTSL2 (ADAMTS-like protein 2), LOX, and SPP1 (secreted phosphoprotein 1) were assessed for heart failure association in the UK Biobank cohort. SBK2 expression was examined in experimental models and publicly available human hypertrophic cardiomyopathy data sets, and its function was investigated through loss- and gain-of-function studies in cardiomyocytes and mice. The substrates and interacting partners of SBK2 were identified by proteomic and interactome analyses and validated by in vitro kinase assays and coimmunoprecipitation. Mitochondrial protein import and respiratory supercomplex assembly were assessed by biochemical fractionation and blue native PAGE. SBK2 expression was reduced in hypertrophic hearts and primary neonatal rat ventricular myocytes. Cardiomyocyte-specific overexpression of SBK2 attenuated hypertrophy and fibrosis, improved systolic function, and suppressed maladaptive gene expression. Conversely, SBK2 knockdown exacerbated these phenotypes. Mechanistically, SBK2 directly bound and phosphorylated NDUFV1 (NADH: ubiquinone oxidoreductase core subunit V1) at serine 251. This modification enhanced the interaction between NDUFV1 and the cytosolic chaperone HSPA1A and facilitated TOM70-dependent mitochondrial import. Increased mitochondrial NDUFV1 promoted complex I activity, respiratory supercomplex assembly, oxidative phosphorylation, mitochondrial fusion, and redox homeostasis. Pharmacological inhibition of complex I or NDUFV1 silencing abolished SBK2-mediated protection. Moreover, a phospho-deficient NDUFV1 mutant (S251A) failed to rescue hypertrophic phenotypes in SBK2-deficient cardiomyocytes. SBK2 is an upstream kinase that couples cytosolic signaling to mitochondrial protein import by phosphorylating NDUFV1, thereby sustaining complex I integrity and mitochondrial function to restrain pathological cardiac hypertrophy. These findings uncover a previously unrecognized SBK2-NDUFV1 signaling axis linking kinase signaling to mitochondrial proteostasis and identify a potential therapeutic target for heart failure.",Sun Yazhou | Wu Qinghua | Lei Fang | Luo Lei | Zhang Long | Wang Lixing | Tang Mingliang | Yang Zifeng | Tian Song | Wang Qiongyu | Li Qidan | Zhang Peng | Zhang Xiao-Jing | Li Hongliang | She Zhi-Gang,2026-May,Circulation research,fibrosis | heart failure | homeostasis | phenotype | serine | respiratory diseases | PubMed,respiratory diseases,PubMed,https://pubmed.ncbi.nlm.nih.gov/42153297/,basic_research,2026-06-01 19:16:23.088
